pinanol(1),LINALOOL,ISOLINALOOL,PLINOL,TERPINEOL,DMO,BIRAD1,BIRAD2,ISOPLINOL
0.565235947,0.314938514,0.018525795,0.069023526,0.026394278,0.004482047,0,0,0
0.737632664,0.20994386,0.01108681,0.023987825,0.015420744,0.001411049,0,0,0
0.837367724,0.136647093,0.006468501,0.0091974,0.009601682,0.000464924,0,0,0
0.208524057,0.475027973,0.030719154,0.218594243,0.044959821,0.017393958,0,0,0
0.460630249,0.394528976,0.027542197,0.079404673,0.029724786,0.006132036,0,0,0
0.59505834,0.314148647,0.021483714,0.043271443,0.021787729,0.003040148,0,0,0
0.045449861,0.444707822,0.028960115,0.382562094,0.053900855,0.03287643,0,0,0
0.071744676,0.493882439,0.031238611,0.313323268,0.05060655,0.028427136,0,0,0
0.17937157,0.528657263,0.039489338,0.187049497,0.044288042,0.016195627,0,0,0
0.200617627,0.479568872,0.031688684,0.219297803,0.044707283,0.018266407,0,0,0
0.328235566,0.467588514,0.03105754,0.123621187,0.035117349,0.009337561,0,0,0
0.475277399,0.396632276,0.029102589,0.062585166,0.028518591,0.004866654,0,0,0
0.456048122,0.41207097,0.027599454,0.069655765,0.027498357,0.005155942,0,0,0
0.640342928,0.292425646,0.01893843,0.026880352,0.01893843,0.001425473,0,0,0
0.827768985,0.149549075,0.007229856,0.007526973,0.007824091,0,0,0,0
0.220617333,0.523644638,0.038484369,0.158686189,0.037495053,0.014246142,0,0,0
0.631336358,0.302284964,0.020875748,0.023872761,0.01973895,0.001446834,0,0,0
0.712788688,0.2330408,0.013054364,0.02202924,0.016450539,0.001019872,0,0,0
0.910761131,0.078991377,0.002023397,0.003035095,0.004147963,0.001041038,0,0,0
0.14023624,0.586981654,0.045438552,0.164463433,0.040512692,0.015380749,0,0,0
0.373914384,0.493344982,0.040495401,0.055706871,0.029086798,0.004727889,0,0,0
0.17797459,0.459170225,0.029416416,0.262322737,0.043966472,0.021825083,0,0,0
0.575436673,0.33652273,0.02326427,0.039346962,0.02124129,0.00303447,0,0,0
0.686178862,0.247154472,0.00995935,0.039126016,0.015955285,0.001626016,0,0,0
0.910757454,0.079270749,0.001309428,0.004331185,0.004029009,0,0,0,0
0.446238802,0.380390521,0.024631031,0.108356673,0.029398327,0.008183859,0,0,0
0.80236603,0.168666452,0.008274974,0.009705217,0.009603057,0.000612961,0,0,0
0.096407725,0.496363213,0.034091714,0.298833598,0.043904462,0.027313836,0,0,0
0.319663968,0.491722458,0.037271123,0.104911309,0.032834084,0.009307921,0,0,0
0.450616251,0.382577659,0.023524521,0.104035165,0.028695859,0.008142323,0,0,0
0.082533787,0.315794904,0.013927577,0.490457031,0.048901269,0.038584546,0,0,0
0.221174148,0.368213998,0.016864529,0.322443237,0.043053186,0.024851373,0,0,0
0.616265296,0.293236943,0.015861638,0.050838582,0.019318661,0.003558701,0,0,0
0.51085959,0.314163353,0.014887325,0.124502906,0.026307739,0.007851535,0,0,0
0.857306844,0.125967919,0.00372567,0.005638852,0.007209675,0,0,0,0
