H2,CH4,C2H2,C2H4,C2H6,C3H4(MA),C3H6,C3H8,_1.3C4H6,_1-C4H8,_2-C4H8,i-C4H8,i-C4H10,n-C4H10,CPD,benzene,toluene,styrene
0.02298,0.15933,0.00258,0.42703,0.29636,0.00125,0.04257,0.01495,0.01699,0.00246,0.00188,0.00037,0,0.00302,0,0,0,0
0.0228,0.04714,0.00026,0.32304,0.58363,0,0.00593,0.00121,0.00463,0.0013,0.00034,0,0,0.00368,0.00034,0.00094,0.00096,0.00052
0.03205,0.06515,0.0013,0.44752,0.41237,0,0.01143,0.00294,0.01158,0.00165,0.00102,0,0,0.00284,0.00016,0.00666,0.01204,0.00242
0.02349,0.04913,0.00046,0.33637,0.57199,0,0.00655,0.00112,0.00503,0.00128,0.00034,0,0,0.00355,0.00043,0.00095,0.00056,0.00025
0.03266,0.07088,0.00153,0.46851,0.39122,0,0.01215,0.00186,0.01301,0.00189,0.00126,0,0,0.00262,0,0,0,0
0.01062,0.1487,0.00186,0.25481,0.0984,0.00233,0.17864,0.21846,0.01322,0.00997,0.00292,0.00108,0.00042,0.03373,0.00345,0.00365,0.00099,0.00011
0.01075,0.15149,0.00188,0.25992,0.10129,0.0025,0.18188,0.22287,0.01313,0.00926,0.00255,0.00108,0.00043,0.03631,0,0,0,0
0.0329,0.06933,0.00204,0.45547,0.39007,0.00013,0.01164,0.00164,0.01199,0.00173,0.00114,0,0,0.00296,0.00157,0.00315,0.00051,0.0001
0.02369,0.04833,0.00039,0.33757,0.57027,0,0.00621,0.00116,0.00537,0.00131,0,0,0,0.00354,0.00038,0.00045,0.00004,0
0.00324,0.03519,0,0.046,0.62959,0,0.02328,0.18594,0.00017,0.00048,0.00053,0,0.00012,0.06148,0,0,0,0
0.01027,0.0623,0.00029,0.16816,0.54478,0.0001,0.05198,0.11915,0.00203,0.00195,0.00103,0,0.00012,0.03268,0,0,0,0
0.01671,0.08855,0.00078,0.29186,0.46618,0.00047,0.05637,0.07098,0.00637,0.00259,0.00115,0.00027,0.00015,0.01413,0.00102,0.00076,0.00013,0.00006
0.02163,0.10936,0.00206,0.37562,0.35594,0.00103,0.04795,0.03707,0.01194,0.00246,0.00132,0.00028,9.00E-05,0.00546,0,0,0,0
0.0112,0.06765,0.00032,0.18719,0.52271,0.00012,0.0534,0.10802,0.00256,0.0021,0.00099,0.00015,0.00015,0.02728,0.0005,0.00103,0.00045,0.00017
0.01759,0.09731,0.00101,0.31123,0.42581,0.00068,0.05552,0.05939,0.00792,0.00263,0.00136,0.00028,0.00013,0.01103,0.00194,0.00179,0.0003,9.00E-05
0.02221,0.11704,0.0019,0.38441,0.34455,0.00108,0.04813,0.03407,0.01291,0.00245,0.00167,0.00031,0.0001,0.00488,0,0.00329,0.00054,0.00011
0.00915,0.10358,0.00048,0.18023,0.09315,0.00074,0.16661,0.3826,0.00554,0.00794,0.00298,0.00068,0.00059,0.03984,0.00058,0.00115,0.00005,0.00007
0.01193,0.14712,0.00165,0.25717,0.0871,0.00229,0.1816,0.26036,0.01306,0.01002,0.0037,0.00109,0.00057,0.02043,0,0,0,0
0.01396,0.18947,0.0034,0.32897,0.08106,0.00373,0.16701,0.14751,0.02172,0.00878,0.00379,0.00136,0.00043,0.00775,0.00573,0.01115,0.00263,0.0007
0.00953,0.1156,0.00059,0.20074,0.11153,0.00059,0.16898,0.31254,0.00748,0.00791,0.00358,0.00082,0.00055,0.03939,0.00171,0.00143,0.00048,0
0.01512,0.2159,0.00388,0.36001,0.08874,0.00382,0.13788,0.08117,0.02532,0.00602,0.00373,0.0013,0.0003,0.004,0.00783,0.01838,0.0041,0.00164
0.01243,0.16869,0.00261,0.29151,0.10227,0.00261,0.17056,0.1735,0.01716,0.00848,0.0041,0.00126,0.00046,0.01455,0.01843,0.02188,0.0049,0.00157
0.00988,0.12766,0.00103,0.21768,0.11505,0.00144,0.17703,0.28601,0.00916,0.00823,0.00361,0.00097,0.0005,0.03385,0.003,0.00284,0.00079,0.0001
0.01311,0.19147,0.00246,0.31549,0.10357,0.00275,0.16165,0.12812,0.01992,0.00725,0.00375,0.00139,0.00036,0.00899,0,0,0,0
0.01573,0.2385,0.00425,0.37716,0.09078,0.00365,0.12534,0.0577,0.0263,0.00456,0.00271,0.00126,0.00021,0.00263,0.01271,0.03103,0.00675,0.00317
